dataset,positive,tau,m,selection,budget,cov_vsf,cov_partial,cov_rules_disjoint,cov_rules,cov_tree,cov_greedy,partial_vs_vsf,partial_vs_rules_disjoint,vsf_vs_rules_disjoint,partial_vs_tree,vsf_vs_greedy,net_partial,net_rules,net_rules_disjoint,net_vsf,net_tree,partial_vs_rules_net,gap_closed,purity_ok_vsf,purity_ok_partial,purity_ok_rules_disjoint,purity_ok_rules
breast_cancer_wisconsin,malignant,0.9,1,purity,4,0.6157312925170068,0.6430272108843538,0.6141836734693877,0.7684353741496599,0.8903231292517007,0.5940136054421769,=,=,=,-,=,0.3589455782312925,0.4767006802721088,0.3893367346938775,0.39119047619047614,0.0016496598639453896,=,,0.92,0.92,0.92,1.0
breast_cancer_wisconsin,malignant,0.9,1,purity,8,0.7220238095238095,0.7369217687074829,0.6481802721088435,0.8812925170068029,0.8986224489795918,0.6995748299319727,=,=,=,-,=,0.3929931972789115,0.4026700680272108,0.42333333333333334,0.3926360544217687,-0.02755102040816345,=,,0.92,0.92,0.96,0.84
breast_cancer_wisconsin,malignant,0.9,1,purity,16,0.784234693877551,0.8116326530612242,0.7029591836734694,0.9352210884353741,0.8903231292517007,0.6995748299319727,=,+,=,-,=,0.3483163265306122,0.1804761904761903,0.440765306122449,0.3359183673469387,0.03180272108843521,=,,0.92,0.88,0.96,0.72
breast_cancer_wisconsin,malignant,0.9,1,purity,32,0.8191326530612245,0.8539965986394559,0.750170068027211,0.9368707482993197,0.8903061224489796,0.6971428571428572,=,+,=,=,+,0.1814455782312924,0.12227891156462567,0.44328231292516995,0.3112755102040815,0.024438775510203906,=,,0.88,0.68,0.96,0.72
car_evaluation,acc,0.9,1,purity,4,0.028154477101845522,0.028154477101845522,0.003643198906356801,0.003643198906356801,0.0,0.02501708817498291,=,=,=,=,=,-0.004695830485304178,-0.015058099794941906,-0.015058099794941906,-0.004695830485304178,0.0,=,,0.56,0.56,0.28,0.28
car_evaluation,acc,0.9,1,purity,8,0.0651948051948052,0.0651948051948052,0.01508544087491456,0.01508544087491456,0.0,0.056821599453178405,=,=,=,+,=,0.03701982228298017,-0.008291182501708825,-0.008291182501708825,0.03701982228298017,0.0,=,,0.84,0.84,0.72,0.72
car_evaluation,acc,0.9,1,purity,16,0.11462064251537937,0.11462064251537937,0.041127819548872194,0.041127819548872194,0.0,0.10467532467532469,=,=,=,+,=,0.04892002734107996,-0.019651401230348614,-0.019651401230348614,0.04892002734107996,0.0,=,,0.8,0.8,0.76,0.76
car_evaluation,acc,0.9,1,purity,32,0.20992481203007518,0.20992481203007518,0.11663021189336979,0.11663021189336979,0.0,0.19266575529733426,=,+,+,+,=,0.11137388926862611,-0.028673957621326074,-0.028673957621326074,0.11137388926862611,0.0,=,,0.92,0.92,0.56,0.56
nursery,spec_prior,0.9,1,purity,2,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.0,0.2114237721670807,=,=,=,+,=,0.19139133999926572,0.19139133999926572,0.19139133999926572,0.19139133999926572,0.0,=,,1.0,1.0,1.0,1.0
nursery,spec_prior,0.9,1,purity,4,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.2114237721670807,=,=,=,=,=,0.19139133999926572,0.19139133999926572,0.19139133999926572,0.19139133999926572,0.19139133999926572,=,,1.0,1.0,1.0,1.0
nursery,spec_prior,0.9,1,purity,8,0.2099899031930387,0.37408376066284,0.37408376066284,0.40286932896009003,0.22680481954252285,0.2114237721670807,+,=,-,+,=,0.2734887221725881,0.2283865914403554,0.2734887221725881,0.18550753282992083,0.22012770930986797,+,1.0,1.0,1.0,1.0,1.0
nursery,spec_prior,0.9,1,purity,16,0.339958450109535,0.49084960041121534,0.4782870919972096,0.5181519171694673,0.2818995459496506,0.34074955023314446,+,+,-,+,=,0.4405487767565384,0.31740848621326906,0.3616678701244661,0.30612900659658054,0.25519000354918064,+,1.0908163937892685,1.0,1.0,1.0,1.0
nursery,spec_prior,0.9,1,purity,32,0.4228465652498501,0.5698315363056701,0.5872405120610948,0.678931941401804,0.2818995459496506,0.4228465652498501,+,-,-,+,=,0.467012630187617,0.315284423992461,0.41409440820472654,0.38278390385392064,0.25519000354918064,+,0.8941020877404108,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,purity,2,0.1454757557703765,0.1454757557703765,0.14519472532541164,0.14519472532541164,0.0,0.1454757557703765,=,=,=,+,=,0.04155286068456558,0.04170898870954606,0.04170898870954606,0.04155286068456558,0.0,=,,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,purity,4,0.2981716548014859,0.2981716548014859,0.2981716548014859,0.2981716548014859,0.6736993281736041,0.2981716548014859,=,=,=,-,=,0.0921875037178787,0.0921875037178787,0.0921875037178787,0.0921875037178787,0.35536609093313504,=,,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,purity,8,0.6300980970867388,0.6300980970867388,0.6300980970867388,0.6300980970867388,0.6736993281736041,0.6300980970867388,=,=,=,-,=,0.21003147270093256,0.21003147270093256,0.21003147270093256,0.21003147270093256,0.35536609093313504,=,,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,purity,16,0.6300980970867388,0.7434135479956402,0.7435540632181227,0.7439758285264023,0.6736993281736041,0.6300980970867388,+,=,-,+,=,0.2900928989203739,0.2790613832064451,0.29132682281299516,0.21003147270093256,0.35536609093313504,=,0.998761499925709,1.0,1.0,1.0,1.0
nursery,priority,0.7,1,purity,32,0.6300980970867388,0.8563990434641751,0.8687750905332056,0.902437354316354,0.6736993281736041,0.6300980970867388,+,-,-,+,=,0.3275977058515064,0.24346042300993972,0.3226916434899831,0.21003147270093256,0.35536609093313504,+,0.94814729777545,1.0,1.0,1.0,1.0
nursery,spec_prior,0.9,1,certified,2,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.2114237721670807,0.0,0.2114237721670807,=,=,=,+,=,0.19139133999926572,0.19139133999926572,0.19139133999926572,0.19139133999926572,0.0,=,,1.0,1.0,1.0,1.0
