dataset,positive,tau,divisor,m,budget,method,coverage,purity,purity_reaches_tau,conditions,splits,seconds
titanic,survived,0.7,none,1,8,vsf,0.6812,0.7426,0.9,1.0,10,2.6
titanic,survived,0.7,none,1,32,vsf,0.6447,0.7527,1.0,8.8,10,2.6
titanic,survived,0.7,none,1,8,vsf_partial,0.7367,0.7472,1.0,7.6,10,2.6
titanic,survived,0.7,none,1,32,vsf_partial,0.7339,0.7281,0.8,26.8,10,2.6
titanic,survived,0.7,none,1,8,rules_disjoint,0.7396,0.7459,0.9,8.0,10,2.6
titanic,survived,0.7,none,1,32,rules_disjoint,0.7631,0.7247,0.7,30.9,10,2.6
titanic,survived,0.7,none,5,8,vsf,0.6812,0.7426,0.9,1.0,10,1.8
titanic,survived,0.7,none,5,32,vsf,0.6812,0.7426,0.9,1.0,10,1.8
titanic,survived,0.7,none,5,8,vsf_partial,0.7367,0.7468,0.9,6.0,10,1.8
titanic,survived,0.7,none,5,32,vsf_partial,0.7382,0.7473,0.9,6.4,10,1.8
titanic,survived,0.7,none,5,8,rules_disjoint,0.7382,0.7478,0.9,5.7,10,1.8
titanic,survived,0.7,none,5,32,rules_disjoint,0.747,0.7438,0.8,9.1,10,1.8
titanic,survived,0.7,none,20,8,vsf,0.6812,0.7426,0.9,1.0,10,1.2
titanic,survived,0.7,none,20,32,vsf,0.6812,0.7426,0.9,1.0,10,1.2
titanic,survived,0.7,none,20,8,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,none,20,32,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,none,20,8,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,none,20,32,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.2
car_evaluation,acc,0.9,5,1,8,vsf,0.0182,1.0,0.9,8.0,10,0.2
car_evaluation,acc,0.9,5,1,32,vsf,0.1094,0.9006,0.6,32.0,10,0.2
car_evaluation,acc,0.9,5,1,8,vsf_partial,0.0182,1.0,0.9,8.0,10,0.2
car_evaluation,acc,0.9,5,1,32,vsf_partial,0.1094,0.9006,0.6,32.0,10,0.2
car_evaluation,acc,0.9,5,1,8,rules_disjoint,0.0143,1.0,0.8,8.0,10,0.2
car_evaluation,acc,0.9,5,1,32,rules_disjoint,0.1042,0.8958,0.5,32.0,10,0.2
car_evaluation,acc,0.9,5,5,8,vsf,0.0182,1.0,0.9,8.0,10,0.2
car_evaluation,acc,0.9,5,5,32,vsf,0.1094,0.9006,0.6,32.0,10,0.2
car_evaluation,acc,0.9,5,5,8,vsf_partial,0.0182,1.0,0.9,8.0,10,0.2
car_evaluation,acc,0.9,5,5,32,vsf_partial,0.1094,0.9006,0.6,32.0,10,0.2
car_evaluation,acc,0.9,5,5,8,rules_disjoint,0.0143,1.0,0.8,8.0,10,0.2
car_evaluation,acc,0.9,5,5,32,rules_disjoint,0.1042,0.8958,0.5,32.0,10,0.2
car_evaluation,acc,0.9,5,20,8,vsf,0.0,,,0.0,10,0.1
car_evaluation,acc,0.9,5,20,32,vsf,0.0,,,0.0,10,0.1
