dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules_disjoint,16,0.3482,0.0725,0.5198,25,0.04,-0.4259,0.2238,0.548,15.8,0.5576,0.08,0.0759,-0.3318,0.2286,X_2=2 & X_6=2 | X_2=0 & X_5=2 & X_9=1 | X_2=0 & X_4=4 & X_6=2 | X_3=4 & X_6=1 & X_8=5 | X_1=1 & X_2=2 & X_8=3 & X_9=0,0.021
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules_disjoint,32,0.3859,0.0654,0.4717,25,0.0,-0.6573,0.2373,0.575,31.28,0.7118,0.1129,0.0817,-0.5514,0.2425,X_2=2 & X_6=2 | X_2=0 & X_5=2 & X_9=1 | X_2=0 & X_4=4 & X_6=2 | X_3=4 & X_6=1 & X_8=5 | X_1=1 & X_2=2 & X_8=3 & X_9=0 | X_1=2 & X_4=4 & X_5=2 & X_6=1 | X_3=3 & X_6=0 & X_8=3 | X_1=4 & X_3=5 & X_4=0 & X_6=2 | X_1=5 & X_3=2 | X_3=10 & X_6=2,0.021
breast_cancer,recurrence-events,0.7,1,5,4,purity,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,-0.0094,0.015,0.062,0.0682,,0.048
breast_cancer,recurrence-events,0.7,1,5,4,purity,tree,2,0.2635,0.0673,0.6695,23,0.522,-0.0439,0.1043,0.656,1.92,0.29,0.0235,0.0743,-0.0643,0.1115,gini-balanced-depth2-leaf5,0.048
breast_cancer,recurrence-events,0.7,1,5,4,purity,tree,4,0.2894,0.054,0.6806,25,0.52,-0.04,0.1222,0.753,2.24,0.3129,0.0376,0.0437,-0.0392,0.0901,gini-balanced-depth2-leaf5,0.048
breast_cancer,recurrence-events,0.7,1,5,4,purity,tree,8,0.2847,0.0507,0.6497,25,0.48,-0.1051,0.1436,0.603,6.08,0.3571,0.0659,0.0451,-0.0055,0.1087,entropy-None-depth3-leaf8 | entropy-None-depth3-leaf12,0.048
breast_cancer,recurrence-events,0.7,1,5,4,purity,tree,16,0.2918,0.0529,0.6339,25,0.44,-0.131,0.1498,0.585,9.56,0.3841,0.0235,0.0533,-0.0369,0.1687,entropy-None-depth3-leaf8 | entropy-None-depth3-leaf12,0.048
breast_cancer,recurrence-events,0.7,1,5,4,purity,tree,32,0.2965,0.0488,0.6406,25,0.4,-0.1263,0.147,0.592,10.28,0.3871,0.0235,0.0492,-0.0204,0.1555,entropy-None-depth3-leaf8 | entropy-None-depth3-leaf12,0.048
breast_cancer,recurrence-events,0.7,1,5,4,purity,ssdpp,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,-0.0094,0.015,0.062,0.0682,,0.034
breast_cancer,recurrence-events,0.7,1,5,4,purity,ssdpp,2,0.0753,0.056,0.5884,11,0.364,-0.051,0.0778,0.214,0.88,0.1276,-0.1647,0.0891,-0.0714,0.1234,,0.034
