dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds,config,sig,net_sig
mlc_churn,yes,0.7,20,5,4,certified,rules_pure,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.431,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_pure,2,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.431,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_pure,4,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.431,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_pure,8,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.431,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_pure,16,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.431,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_pure,32,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.431,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_disjoint,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.429,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_disjoint,2,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.429,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_disjoint,4,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.429,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_disjoint,8,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.429,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_disjoint,16,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.429,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,rules_disjoint,32,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,X_5=0 & X_11=4,1.429,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.398,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,tree,2,0.0857,0.0278,0.9206,19,1.0,0.0679,0.0231,0.6,1.52,0.1009,0.0,0.0,0.0,0.0,entropy-None-depth2-leaf6,1.398,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,tree,4,0.1157,0.0182,0.9372,24,1.0,0.0979,0.0204,0.834,2.12,0.1186,0.03,0.0334,0.03,0.0334,entropy-None-depth2-leaf6,1.398,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,tree,8,0.1157,0.0182,0.9372,24,1.0,0.0979,0.0204,0.834,2.12,0.1186,0.03,0.0334,0.03,0.0334,entropy-None-depth2-leaf6,1.398,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,tree,16,0.1157,0.0182,0.9372,24,1.0,0.0979,0.0204,0.834,2.12,0.1186,0.03,0.0334,0.03,0.0334,entropy-None-depth2-leaf6,1.398,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,tree,32,0.1157,0.0182,0.9372,24,1.0,0.0979,0.0204,0.834,2.12,0.1186,0.03,0.0334,0.03,0.0334,entropy-None-depth2-leaf6,1.398,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,ssdpp,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,3.51,mlc_churn yes t=0.7 m=20 d<=4 cert,=,=
mlc_churn,yes,0.7,20,5,4,certified,ssdpp,2,0.0195,0.0248,0.8955,4,1.0,0.0142,0.0184,0.067,0.32,0.0209,-0.0662,0.0306,-0.0537,0.0256,,3.51,mlc_churn yes t=0.7 m=20 d<=4 cert,-,-
mlc_churn,yes,0.7,20,5,4,certified,ssdpp,4,0.0238,0.0251,0.8584,6,1.0,0.0158,0.0184,0.086,0.56,0.0265,-0.062,0.0297,-0.0521,0.0253,,3.51,mlc_churn yes t=0.7 m=20 d<=4 cert,-,-
mlc_churn,yes,0.7,20,5,4,certified,ssdpp,8,0.0238,0.0251,0.8584,6,1.0,0.0158,0.0184,0.086,0.56,0.0265,-0.062,0.0297,-0.0521,0.0253,,3.51,mlc_churn yes t=0.7 m=20 d<=4 cert,-,-
mlc_churn,yes,0.7,20,5,4,certified,ssdpp,16,0.0238,0.0251,0.8584,6,1.0,0.0158,0.0184,0.086,0.56,0.0265,-0.062,0.0297,-0.0521,0.0253,,3.51,mlc_churn yes t=0.7 m=20 d<=4 cert,-,-
mlc_churn,yes,0.7,20,5,4,certified,ssdpp,32,0.0238,0.0251,0.8584,6,1.0,0.0158,0.0184,0.086,0.56,0.0265,-0.062,0.0297,-0.0521,0.0253,,3.51,mlc_churn yes t=0.7 m=20 d<=4 cert,-,-
mushroom,poisonous,0.9,1,2,4,purity,vsf,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12#2,1.678,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf,2,0.7785,0.0324,0.9274,10,0.6,0.1866,0.2135,0.816,2.0,0.7797,0.0,0.0,0.0,0.0,X_4+X_7#2,1.678,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf,4,0.9111,0.0042,1.0,10,1.0,0.9111,0.0042,1.0,4.0,0.9111,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7,1.678,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf,8,0.9694,0.0045,1.0,10,1.0,0.9694,0.0045,1.0,6.0,0.9694,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2 | X_5#5,1.678,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf,16,0.9714,0.0045,1.0,10,1.0,0.9714,0.0045,1.0,14.0,0.9714,0.0,0.0,0.0,0.0,X_5+X_16#4 | X_5+X_16#11 | X_5+X_16#3 | X_5+X_16#10 | X_5+X_16#2 | X_5+X_16#5 | X_5+X_16#9,1.678,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf,32,0.986,0.002,1.0,10,1.0,0.986,0.002,0.992,23.6,0.9878,0.0,0.0,0.0,0.0,X_5+X_19#9 | X_5+X_19#10 | X_5+X_19#22 | X_5+X_19#8 | X_5+X_19#21 | X_5+X_19#20 | X_5+X_19#7 | X_5+X_19#6 | X_5+X_19#16 | X_5+X_19#11,1.678,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12#2,27.045,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,2,0.8458,0.0076,0.9857,10,1.0,0.7354,0.0271,1.0,2.0,0.8458,0.0673,0.0344,0.5488,0.2052,X_9#2 | X_19#3,27.045,mushroom poisonous t=0.9 m=1 d<=4 puri,=,+
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,4,0.9111,0.0042,0.9867,10,1.0,0.8008,0.026,1.0,4.0,0.9111,0.0,0.0,-0.1103,0.024,X_9#2 | X_19#3 | X_4+X_11#2,27.045,mushroom poisonous t=0.9 m=1 d<=4 puri,=,-
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,8,0.994,0.0016,0.9991,10,1.0,0.986,0.0101,0.997,8.0,0.9944,0.0246,0.0041,0.0166,0.0113,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2 | X_19#4 | X_5#5 | X_15#8,27.045,mushroom poisonous t=0.9 m=1 d<=4 puri,+,=
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,16,1.0,0.0,0.9761,10,1.0,0.7794,0.0181,1.0,15.0,1.0,0.0286,0.0045,-0.192,0.0185,X_19#3 | X_8+X_19#12 | X_4+X_11#2 | X_19#4 | X_4+X_11+X_19#14 | X_4+X_11+X_19#13 | X_4+X_8+X_11#7,27.045,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,32,1.0,0.0,0.9761,10,1.0,0.7794,0.0181,1.0,15.0,1.0,0.014,0.002,-0.2066,0.0175,X_19#3 | X_8+X_19#12 | X_4+X_11#2 | X_19#4 | X_4+X_11+X_19#14 | X_4+X_11+X_19#13 | X_4+X_8+X_11#7,27.045,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,1,0.5516,0.012,1.0,10,1.0,0.5516,0.012,1.0,1.0,0.5516,-0.0174,0.0062,0.3136,0.0234,X_5#4,0.036,mushroom poisonous t=0.9 m=1 d<=4 puri,-,+
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,2,0.6915,0.0084,1.0,10,1.0,0.6915,0.0084,0.814,2.0,0.7005,-0.087,0.0361,0.5049,0.2093,X_5#4 | X_5#8,0.036,mushroom poisonous t=0.9 m=1 d<=4 puri,-,+
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,4,0.9111,0.0042,1.0,10,1.0,0.9111,0.0042,1.0,4.0,0.9111,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7,0.036,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,8,0.9694,0.0045,1.0,10,1.0,0.9694,0.0045,1.0,6.0,0.9694,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2 | X_5#5,0.036,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,16,0.9694,0.0045,1.0,10,1.0,0.9694,0.0045,1.0,6.0,0.9694,-0.002,0.0006,-0.002,0.0006,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2 | X_5#5,0.036,mushroom poisonous t=0.9 m=1 d<=4 puri,-,-
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,32,0.9877,0.0022,1.0,10,1.0,0.9877,0.0022,1.0,20.0,0.9877,0.0018,0.0018,0.0018,0.0018,X_5+X_19#9 | X_5+X_19#10 | X_5+X_19#22 | X_5+X_19#8 | X_5+X_19#21 | X_5+X_19#20 | X_5+X_19#7 | X_5+X_19#6 | X_5+X_19#16 | X_5+X_19#11,0.036,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,rules,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12=2,7.43,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,rules,2,0.8069,0.0086,0.9143,10,0.6,0.1163,0.148,0.925,2.0,0.8067,0.0285,0.0274,-0.0703,0.0678,X_4=1 & X_7=0,7.43,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,rules,4,0.9285,0.0047,0.9619,10,1.0,0.5976,0.0236,1.0,4.0,0.9285,0.0174,0.0028,-0.3136,0.0233,X_12=2 | X_9=2 | X_5=4 | X_5=7,7.43,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules,8,0.9996,0.0005,0.9567,10,1.0,0.5917,0.0394,0.994,8.0,0.9997,0.0303,0.0041,-0.3777,0.0408,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.43,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules,16,1.0,0.0,0.9567,10,1.0,0.5921,0.0396,0.995,8.3,1.0,0.0286,0.0045,-0.3793,0.0413,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.43,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules,32,1.0,0.0,0.9567,10,1.0,0.5921,0.0396,0.995,8.3,1.0,0.014,0.002,-0.3939,0.0398,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.43,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12=2,7.436,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,2,0.8069,0.0086,0.9143,10,0.6,0.1163,0.148,0.925,2.0,0.8067,0.0285,0.0274,-0.0703,0.0678,X_4=1 & X_7=0,7.436,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,4,0.9285,0.0047,0.9619,10,1.0,0.5976,0.0236,1.0,4.0,0.9285,0.0174,0.0028,-0.3136,0.0233,X_12=2 | X_9=2 | X_5=4 | X_5=7,7.436,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,8,0.9996,0.0005,0.9567,10,1.0,0.5917,0.0394,0.994,8.0,0.9997,0.0303,0.0041,-0.3777,0.0408,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.436,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,16,1.0,0.0,0.9567,10,1.0,0.5921,0.0396,0.995,8.3,1.0,0.0286,0.0045,-0.3793,0.0413,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.436,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,32,1.0,0.0,0.9567,10,1.0,0.5921,0.0396,0.995,8.3,1.0,0.014,0.002,-0.3939,0.0398,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.436,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules_disjoint,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12=2,7.383,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,rules_disjoint,2,0.7591,0.0505,0.9042,10,0.6,0.0225,0.0654,0.87,2.0,0.7624,-0.0194,0.0196,-0.1642,0.157,X_4=1 & X_7=0,7.383,mushroom poisonous t=0.9 m=1 d<=4 puri,=,=
mushroom,poisonous,0.9,1,2,4,purity,rules_disjoint,4,0.855,0.0071,0.9588,10,1.0,0.524,0.0262,1.0,4.0,0.855,-0.0562,0.0061,-0.3871,0.026,X_12=2 | X_9=2 & X_12=3 | X_5=7,7.383,mushroom poisonous t=0.9 m=1 d<=4 puri,-,-
mushroom,poisonous,0.9,1,2,4,purity,rules_disjoint,8,0.9959,0.0013,0.9644,10,1.0,0.665,0.0234,1.0,8.0,0.9959,0.0266,0.0037,-0.3044,0.0211,X_12=2 | X_9=2 & X_12=3 | X_5=7 | X_5=2 | X_2=3 & X_19=3 | X_19=4,7.383,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules_disjoint,16,1.0,0.0,0.9645,10,1.0,0.6691,0.0224,1.0,10.3,1.0,0.0286,0.0045,-0.3023,0.0205,X_12=2 | X_9=2 & X_12=3 | X_5=7 | X_5=2 | X_2=3 & X_19=3 | X_19=4 | X_7=1 & X_20=1,7.383,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,rules_disjoint,32,1.0,0.0,0.9645,10,1.0,0.6691,0.0224,1.0,10.3,1.0,0.014,0.002,-0.3169,0.0225,X_12=2 | X_9=2 & X_12=3 | X_5=7 | X_5=2 | X_2=3 & X_19=3 | X_19=4 | X_7=1 & X_20=1,7.383,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,-0.5689,0.0089,-0.238,0.0212,,0.54,mushroom poisonous t=0.9 m=1 d<=4 puri,-,-
mushroom,poisonous,0.9,1,2,4,purity,tree,2,0.9602,0.0049,0.9289,10,1.0,0.2982,0.0501,1.0,2.0,0.9602,0.1817,0.0344,0.1116,0.1921,gini-None-depth2-leaf2,0.54,mushroom poisonous t=0.9 m=1 d<=4 puri,+,=
mushroom,poisonous,0.9,1,2,4,purity,tree,4,0.9785,0.0029,0.9301,10,1.0,0.3166,0.0499,1.0,4.0,0.9785,0.0674,0.0044,-0.5945,0.0483,gini-None-depth2-leaf2 | gini-None-depth2-leaf6,0.54,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,tree,8,0.9877,0.0022,0.9758,10,1.0,0.7671,0.0342,1.0,8.0,0.9877,0.0184,0.0033,-0.2023,0.0342,gini-None-depth3-leaf3 | gini-None-depth3-leaf12 | gini-None-depth3-leaf6,0.54,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,tree,16,0.9969,0.002,0.9846,10,1.0,0.8567,0.0237,0.985,12.5,0.9969,0.0255,0.0046,-0.1147,0.0248,gini-None-depth4-leaf4 | gini-None-depth4-leaf18 | gini-None-depth4-leaf8 | gini-None-depth4-leaf16,0.54,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,tree,32,0.9978,0.0021,0.9846,10,1.0,0.8576,0.0236,0.985,16.1,0.9979,0.0119,0.0031,-0.1283,0.0243,gini-None-depth4-leaf4 | gini-None-depth4-leaf18 | gini-None-depth4-leaf8 | gini-None-depth4-leaf16 | gini-None-depth4-leaf14,0.54,mushroom poisonous t=0.9 m=1 d<=4 puri,+,-
mushroom,poisonous,0.9,1,2,4,purity,ssdpp,1,0.5516,0.012,1.0,10,1.0,0.5516,0.012,1.0,1.0,0.5516,-0.0174,0.0062,0.3136,0.0234,ssdpp#0,1.953,mushroom poisonous t=0.9 m=1 d<=4 puri,-,+
mushroom,poisonous,0.9,1,2,4,purity,ssdpp,2,0.8458,0.0076,1.0,10,1.0,0.8458,0.0076,1.0,2.0,0.8458,0.0673,0.0344,0.6591,0.2114,ssdpp#0 | ssdpp#1,1.953,mushroom poisonous t=0.9 m=1 d<=4 puri,=,+
mushroom,poisonous,0.9,1,2,4,purity,ssdpp,4,0.9602,0.0049,1.0,10,1.0,0.9602,0.0049,1.0,4.0,0.9602,0.049,0.0051,0.049,0.0051,ssdpp#0 | ssdpp#1 | ssdpp#2 | ssdpp#3,1.953,mushroom poisonous t=0.9 m=1 d<=4 puri,+,+
mushroom,poisonous,0.9,1,2,4,purity,ssdpp,8,0.9997,0.0005,1.0,10,1.0,0.9997,0.0005,1.0,6.9,0.9998,0.0304,0.0046,0.0304,0.0046,ssdpp#0 | ssdpp#1 | ssdpp#2 | ssdpp#3 | ssdpp#4 | ssdpp#5,1.953,mushroom poisonous t=0.9 m=1 d<=4 puri,+,+
mushroom,poisonous,0.9,1,2,4,purity,ssdpp,16,0.9997,0.0005,1.0,10,1.0,0.9997,0.0005,1.0,6.9,0.9998,0.0283,0.0046,0.0283,0.0046,ssdpp#0 | ssdpp#1 | ssdpp#2 | ssdpp#3 | ssdpp#4 | ssdpp#5,1.953,mushroom poisonous t=0.9 m=1 d<=4 puri,+,+
mushroom,poisonous,0.9,1,2,4,purity,ssdpp,32,0.9997,0.0005,1.0,10,1.0,0.9997,0.0005,1.0,6.9,0.9998,0.0138,0.0022,0.0138,0.0022,ssdpp#0 | ssdpp#1 | ssdpp#2 | ssdpp#3 | ssdpp#4 | ssdpp#5,1.953,mushroom poisonous t=0.9 m=1 d<=4 puri,+,+
mushroom,poisonous,0.9,1,2,4,certified,vsf,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12#2,6.182,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf,2,0.6915,0.0084,1.0,10,1.0,0.6915,0.0084,0.814,2.0,0.7005,0.0,0.0,0.0,0.0,X_5#4 | X_5#8,6.182,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf,4,0.9111,0.0042,1.0,10,1.0,0.9111,0.0042,1.0,4.0,0.9111,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7,6.182,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf,8,0.9602,0.0049,1.0,10,1.0,0.9602,0.0049,1.0,5.0,0.9602,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2,6.182,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf,16,0.9602,0.0049,1.0,10,1.0,0.9602,0.0049,1.0,5.0,0.9602,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2,6.182,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf,32,0.9602,0.0049,1.0,10,1.0,0.9602,0.0049,1.0,5.0,0.9602,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2,6.182,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf_partial,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12#2,15.531,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf_partial,2,0.8458,0.0076,0.9857,10,1.0,0.7354,0.0271,1.0,2.0,0.8458,0.1542,0.0039,0.0439,0.0244,X_9#2 | X_19#3,15.531,mushroom poisonous t=0.9 m=1 d<=4 cert,+,=
mushroom,poisonous,0.9,1,2,4,certified,vsf_partial,4,0.9111,0.0042,0.9867,10,1.0,0.8008,0.026,1.0,4.0,0.9111,0.0,0.0,-0.1103,0.024,X_9#2 | X_19#3 | X_4+X_11#2,15.531,mushroom poisonous t=0.9 m=1 d<=4 cert,=,-
mushroom,poisonous,0.9,1,2,4,certified,vsf_partial,8,0.9775,0.0043,0.9637,10,1.0,0.6466,0.0258,1.0,7.0,0.9775,0.0174,0.0028,-0.3136,0.0233,X_12#2 | X_9+X_12#5 | X_5#7 | X_5#2 | X_4+X_5#2,15.531,mushroom poisonous t=0.9 m=1 d<=4 cert,+,-
mushroom,poisonous,0.9,1,2,4,certified,vsf_partial,16,0.9775,0.0043,0.9637,10,1.0,0.6466,0.0258,1.0,7.0,0.9775,0.0174,0.0028,-0.3136,0.0233,X_12#2 | X_9+X_12#5 | X_5#7 | X_5#2 | X_4+X_5#2,15.531,mushroom poisonous t=0.9 m=1 d<=4 cert,+,-
mushroom,poisonous,0.9,1,2,4,certified,vsf_partial,32,0.9775,0.0043,0.9637,10,1.0,0.6466,0.0258,1.0,7.0,0.9775,0.0174,0.0028,-0.3136,0.0233,X_12#2 | X_9+X_12#5 | X_5#7 | X_5#2 | X_4+X_5#2,15.531,mushroom poisonous t=0.9 m=1 d<=4 cert,+,-
mushroom,poisonous,0.9,1,2,4,certified,vsf_greedy,1,0.5516,0.012,1.0,10,1.0,0.5516,0.012,1.0,1.0,0.5516,-0.0174,0.0062,0.3136,0.0234,X_5#4,5.239,mushroom poisonous t=0.9 m=1 d<=4 cert,-,+
mushroom,poisonous,0.9,1,2,4,certified,vsf_greedy,2,0.6915,0.0084,1.0,10,1.0,0.6915,0.0084,0.814,2.0,0.7005,0.0,0.0,0.0,0.0,X_5#4 | X_5#8,5.239,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf_greedy,4,0.9111,0.0042,1.0,10,1.0,0.9111,0.0042,1.0,4.0,0.9111,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7,5.239,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf_greedy,8,0.9602,0.0049,1.0,10,1.0,0.9602,0.0049,1.0,5.0,0.9602,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2,5.239,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf_greedy,16,0.9602,0.0049,1.0,10,1.0,0.9602,0.0049,1.0,5.0,0.9602,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2,5.239,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
mushroom,poisonous,0.9,1,2,4,certified,vsf_greedy,32,0.9602,0.0049,1.0,10,1.0,0.9602,0.0049,1.0,5.0,0.9602,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2,5.239,mushroom poisonous t=0.9 m=1 d<=4 cert,=,=
