tau,m,selection,method,budget,coverage,coverage_se,purity,purity_reaches_tau,train_union_purity,net_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,stability,conditions
0.7,1,purity,rules,2,0.6976,0.0252,0.725,0.72,,0.075,0.0164,0.0062,-0.0533,0.0274,0.946,2.0
0.7,1,purity,rules,4,0.738,0.0246,0.7031,0.56,,0.0018,0.0573,0.0138,-0.1246,0.0753,0.877,4.0
0.7,1,purity,rules,8,0.8199,0.0222,0.6848,0.32,,-0.0677,0.1392,0.0174,-0.1941,0.0605,0.938,7.92
0.7,1,purity,rules,16,0.838,0.0188,0.6668,0.28,,-0.1464,0.1625,0.0219,-0.273,0.0633,0.931,15.56
0.7,1,purity,rules,32,0.8491,0.0186,0.6463,0.12,,-0.2431,0.1819,0.0264,-0.3944,0.0839,0.92,28.96
0.7,1,purity,tree,1,0.4683,0.1943,0.6998,0.375,,-0.016,-0.213,0.1903,-0.1444,0.0581,0.418,0.64
0.7,1,purity,tree,2,0.6506,0.0649,0.7612,0.6,,0.1024,-0.0306,0.0608,-0.0259,0.0971,0.738,1.36
0.7,1,purity,tree,4,0.6506,0.0649,0.7612,0.6,,0.1024,-0.0301,0.0611,-0.024,0.0966,0.738,1.36
0.7,1,purity,tree,8,0.6756,0.0516,0.768,0.6,,0.1316,-0.005,0.0479,0.0051,0.1151,0.753,2.8
0.7,1,purity,tree,16,0.6984,0.0373,0.763,0.6,,0.1365,0.023,0.0321,0.0098,0.1153,0.79,6.36
0.7,1,purity,tree,32,0.6996,0.0362,0.7618,0.6,,0.1349,0.0324,0.0367,-0.0164,0.1158,0.791,8.28
0.9,20,purity,psg_topk,1,0.6813,0.0246,0.7437,0.0,0.7421,-1.4513,0.6813,0.0246,-1.4513,0.2238,1.0,1.0
0.9,20,purity,psg_topk,2,0.6888,0.0302,0.7338,0.0,0.7342,-1.5846,0.4215,0.0411,-1.7361,0.2305,0.957,2.0
0.9,20,purity,psg_topk,4,0.6888,0.0302,0.7338,0.0,0.7342,-1.5846,0.218,0.0341,-1.819,0.2438,0.957,4.0
0.9,20,purity,psg_topk,8,0.6888,0.0302,0.7338,0.0,0.7342,-1.5846,0.218,0.0341,-1.819,0.2438,0.957,8.0
0.9,20,purity,psg_topk,16,0.7311,0.0364,0.6887,0.0,0.695,-2.4158,0.2603,0.0418,-2.6501,0.6924,0.846,16.0
0.9,20,purity,psg_topk,32,0.8684,0.0269,0.584,0.0,0.5838,-4.8252,0.3976,0.0299,-5.0595,0.7104,0.906,32.0
0.9,20,purity,psg_filtered,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
0.9,20,purity,psg_filtered,2,0.2673,0.0248,0.9618,0.96,0.9656,0.1514,0.0,0.0,0.0,0.0,0.978,2.0
0.9,20,purity,psg_filtered,4,0.4626,0.0286,0.9402,0.92,0.9453,0.1943,-0.0082,0.0222,-0.04,0.1077,0.965,4.0
0.9,20,purity,psg_filtered,8,0.3047,0.0553,0.9562,0.88,0.958,0.1521,-0.1661,0.0533,-0.0822,0.1175,0.812,7.72
0.9,20,purity,psg_filtered,16,0.3569,0.0638,0.9184,0.64,0.9231,0.0462,-0.1139,0.0581,-0.1881,0.106,0.787,15.4
0.9,20,purity,psg_filtered,32,0.4773,0.0247,0.9118,0.56,0.9182,0.0403,0.0065,0.0069,-0.194,0.1217,0.978,31.96
0.9,20,purity,vsf,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
0.9,20,purity,vsf,2,0.2673,0.0248,0.9618,0.96,,0.1514,0.0,0.0,0.0,0.0,0.978,2.0
0.9,20,purity,vsf,4,0.4708,0.0233,0.949,0.96,,0.2343,0.0,0.0,0.0,0.0,1.0,4.0
0.9,20,purity,vsf,8,0.4708,0.0233,0.949,0.96,,0.2343,0.0,0.0,0.0,0.0,1.0,4.0
0.9,20,purity,vsf,16,0.4708,0.0233,0.949,0.96,,0.2343,0.0,0.0,0.0,0.0,1.0,4.0
0.9,20,purity,vsf,32,0.4708,0.0233,0.949,0.96,,0.2343,0.0,0.0,0.0,0.0,1.0,4.0
0.9,20,purity,rules,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
0.9,20,purity,rules,2,0.2673,0.0248,0.9618,0.96,,0.1514,0.0,0.0,0.0,0.0,0.978,2.0
0.9,20,purity,rules,4,0.4702,0.023,0.9428,0.92,,0.1967,-0.0006,0.0016,-0.0376,0.1014,0.99,4.0
0.9,20,purity,rules,8,0.5141,0.0284,0.9123,0.72,,0.0455,0.0433,0.016,-0.1888,0.1644,0.893,6.96
0.9,20,purity,rules,16,0.5299,0.0266,0.8842,0.4,,-0.1126,0.0591,0.0158,-0.3469,0.1611,0.885,13.08
0.9,20,purity,rules,32,0.5328,0.0271,0.883,0.36,,-0.1202,0.062,0.0168,-0.3545,0.1607,0.89,14.2
0.9,20,purity,tree,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
0.9,20,purity,tree,2,0.155,0.1247,0.9335,0.875,,0.0448,-0.1123,0.123,-0.1066,0.1614,0.164,0.64
